Transaction,Item,date_time,period_day,weekday_weekend
87,Bread,31/10/2020 09:12,morning,weekday
88,Coffee,31/10/2020 09:16,morning,weekday
88,Coffee,31/10/2020 09:16,morning,weekday
88,Butter,31/10/2020 09:16,morning,weekday
89,Bread,31/10/2020 09:19,morning,weekday
90,Bread,31/10/2020 09:20,morning,weekday
90,Coffee,31/10/2020 09:20,morning,weekday
91,Tea,31/10/2020 09:22,morning,weekday
92,Coffee,31/10/2020 09:27,morning,weekday
93,Bread,31/10/2020 09:29,morning,weekday
93,Coke,31/10/2020 09:29,morning,weekday
94,Coffee,31/10/2020 09:39,morning,weekday
94,Coffee,31/10/2020 09:39,morning,weekday
95,Tea,31/10/2020 09:43,morning,weekday
95,butter,31/10/2020 09:43,morning,weekday
95,Yogurt,31/10/2020 09:43,morning,weekday
96,butter,31/10/2020 09:46,morning,weekday
96,butter,31/10/2020 09:46,morning,weekday
96,Coffee,31/10/2020 09:46,morning,weekday
96,Juice,31/10/2020 09:46,morning,weekday
97,Coffee,31/10/2020 09:51,morning,weekday
97,butter,31/10/2020 09:51,morning,weekday
97,Juice,31/10/2020 09:51,morning,weekday
98,Yogurt,31/10/2020 09:52,morning,weekday
99,butter,31/10/2020 09:56,morning,weekday
99,butter,31/10/2020 09:56,morning,weekday
99,Coffee,31/10/2020 09:56,morning,weekday
99,Bread,31/10/2020 09:56,morning,weekday
100,Bread,31/10/2020 09:58,morning,weekday
101,Coffee,31/10/2020 10:04,morning,weekday
101,butter,31/10/2020 10:04,morning,weekday
102,Yogurt,31/10/2020 10:04,morning,weekday
103,Bread,31/10/2020 10:07,morning,weekday
104,Coffee,31/10/2020 10:12,morning,weekday
104,Coffee,31/10/2020 10:12,morning,weekday
104,Eggs,31/10/2020 10:12,morning,weekday
104,Rice,31/10/2020 10:12,morning,weekday
104,Coffee,31/10/2020 10:12,morning,weekday
105,Coffee,31/10/2020 10:21,morning,weekday
105,Tea,31/10/2020 10:21,morning,weekday
105,Cake,31/10/2020 10:21,morning,weekday
106,Coffee,31/10/2020 10:24,morning,weekday
106,Coffee,31/10/2020 10:24,morning,weekday
106,butter,31/10/2020 10:24,morning,weekday
106,butter,31/10/2020 10:24,morning,weekday
107,Coffee,31/10/2020 10:27,morning,weekday
107,Tea,31/10/2020 10:27,morning,weekday
108,Yogurt,31/10/2020 10:31,morning,weekday
108,Rice,31/10/2020 10:31,morning,weekday
109,Bread,31/10/2020 10:35,morning,weekday
109,Rice,31/10/2020 10:35,morning,weekday
109,butter,31/10/2020 10:35,morning,weekday
110,butter,31/10/2020 10:36,morning,weekday
111,Coffee,31/10/2020 10:38,morning,weekday
112,Coffee,31/10/2020 10:59,morning,weekday
113,Coffee,31/10/2020 11:02,morning,weekday
113,Cake,31/10/2020 11:02,morning,weekday
114,Yogurt,31/10/2020 11:05,morning,weekday
115,Bread,31/10/2020 11:08,morning,weekday
116,Coffee,31/10/2020 11:11,morning,weekday
117,Cookies,31/10/2020 11:13,morning,weekday
117,Cake,31/10/2020 11:13,morning,weekday
117,Coffee,31/10/2020 11:13,morning,weekday
117,Cooking oil,31/10/2020 11:13,morning,weekday
118,Cookies,31/10/2020 11:18,morning,weekday
118,Cookies,31/10/2020 11:18,morning,weekday
118,Tea,31/10/2020 11:18,morning,weekday
118,butter,31/10/2020 11:18,morning,weekday
119,Coffee,31/10/2020 11:25,morning,weekday
119,Coffee,31/10/2020 11:25,morning,weekday
119,Rice,31/10/2020 11:25,morning,weekday
120,Yogurt,31/10/2020 11:29,morning,weekday
121,Coffee,31/10/2020 11:30,morning,weekday
121,Bread,31/10/2020 11:30,morning,weekday
122,Cookies,31/10/2020 11:37,morning,weekday
123,Butter,31/10/2020 11:42,morning,weekday
123,Coffee,31/10/2020 11:42,morning,weekday
123,Coffee,31/10/2020 11:42,morning,weekday
123,Juice,31/10/2020 11:42,morning,weekday
124,Coffee,31/10/2020 11:43,morning,weekday
124,detergent,31/10/2020 11:43,morning,weekday
125,Tea,31/10/2020 11:47,morning,weekday
126,Coffee,31/10/2020 11:52,morning,weekday
126,Butter,31/10/2020 11:52,morning,weekday
127,Yogurt,31/10/2020 11:53,morning,weekday
128,Fresh vegetables,31/10/2020 11:55,morning,weekday
128,Coffee,31/10/2020 11:55,morning,weekday
128,Tea,31/10/2020 11:55,morning,weekday
129,Coffee,31/10/2020 11:59,morning,weekday
129,Coffee,31/10/2020 11:59,morning,weekday
129,Cake,31/10/2020 11:59,morning,weekday
130,Coffee,31/10/2020 12:03,afternoon,weekday
130,Coffee,31/10/2020 12:03,afternoon,weekday
130,Rice,31/10/2020 12:03,afternoon,weekday
131,Bread,31/10/2020 12:08,afternoon,weekday
131,Coffee,31/10/2020 12:08,afternoon,weekday
132,Tea,31/10/2020 12:14,afternoon,weekday
132,Juice,31/10/2020 12:14,afternoon,weekday
132,Pick and Mix Bowls,31/10/2020 12:14,afternoon,weekday
132,Cookies,31/10/2020 12:14,afternoon,weekday
133,Canned beans,31/10/2020 12:16,afternoon,weekday
133,detergent,31/10/2020 12:16,afternoon,weekday
134,Canned beans,31/10/2020 12:19,afternoon,weekday
134,Tea,31/10/2020 12:19,afternoon,weekday
134,Yogurt,31/10/2020 12:19,afternoon,weekday
135,Bread,31/10/2020 12:20,afternoon,weekday
136,Tea,31/10/2020 12:27,afternoon,weekday
136,detergent,31/10/2020 12:27,afternoon,weekday
137,Yogurt,31/10/2020 12:37,afternoon,weekday
138,detergent,31/10/2020 12:43,afternoon,weekday
138,Canned beans,31/10/2020 12:43,afternoon,weekday
138,Coffee,31/10/2020 12:43,afternoon,weekday
139,Bread,31/10/2020 12:50,afternoon,weekday
139,Rice,31/10/2020 12:50,afternoon,weekday
139,Canned beans,31/10/2020 12:50,afternoon,weekday
140,Coffee,31/10/2020 12:53,afternoon,weekday
140,Coffee,31/10/2020 12:53,afternoon,weekday
140,Cookies,31/10/2020 12:53,afternoon,weekday
141,Bread,31/10/2020 12:54,afternoon,weekday
142,Tea,31/10/2020 12:56,afternoon,weekday
142,Rice,31/10/2020 12:56,afternoon,weekday
143,Tea,31/10/2020 12:59,afternoon,weekday
144,detergent,31/10/2020 13:02,afternoon,weekday
144,Canned beans,31/10/2020 13:02,afternoon,weekday
145,Coffee,31/10/2020 13:05,afternoon,weekday
145,Tea,31/10/2020 13:05,afternoon,weekday
145,Focaccia,31/10/2020 13:05,afternoon,weekday
146,Sandwich,31/10/2020 13:08,afternoon,weekday
147,Fresh vegetables,31/10/2020 13:09,afternoon,weekday
147,Coffee,31/10/2020 13:09,afternoon,weekday
148,Fudge,31/10/2020 13:21,afternoon,weekday
148,Coffee,31/10/2020 13:21,afternoon,weekday
148,Coffee,31/10/2020 13:21,afternoon,weekday
149,Coffee,31/10/2020 13:26,afternoon,weekday
150,Bread,31/10/2020 13:31,afternoon,weekday
151,Coke,31/10/2020 13:50,afternoon,weekday
151,detergent,31/10/2020 13:50,afternoon,weekday
152,Rice,31/10/2020 13:51,afternoon,weekday
153,Tea,31/10/2020 13:55,afternoon,weekday
153,Coffee,31/10/2020 13:55,afternoon,weekday
153,Cookies,31/10/2020 13:55,afternoon,weekday
153,Rice,31/10/2020 13:55,afternoon,weekday
154,Diapers,31/10/2020 14:00,afternoon,weekday
154,Canned beans,31/10/2020 14:00,afternoon,weekday
154,Coffee,31/10/2020 14:00,afternoon,weekday
154,Coke,31/10/2020 14:00,afternoon,weekday
155,Tea,31/10/2020 14:01,afternoon,weekday
155,Rice,31/10/2020 14:01,afternoon,weekday
155,Sandwich,31/10/2020 14:01,afternoon,weekday
156,Coffee,31/10/2020 14:04,afternoon,weekday
156,Rice,31/10/2020 14:04,afternoon,weekday
157,Coffee,31/10/2020 14:05,afternoon,weekday
157,Bread,31/10/2020 14:05,afternoon,weekday
158,Coffee,31/10/2020 14:20,afternoon,weekday
158,Rice,31/10/2020 14:20,afternoon,weekday
159,Bread,31/10/2020 14:22,afternoon,weekday
159,Hot chocolate,31/10/2020 14:22,afternoon,weekday
159,Cookies,31/10/2020 14:22,afternoon,weekday
160,Mineral water,31/10/2020 14:35,afternoon,weekday
160,Rice,31/10/2020 14:35,afternoon,weekday
161,Tea,31/10/2020 14:42,afternoon,weekday
162,Rice,31/10/2020 14:44,afternoon,weekday
163,Coffee,31/10/2020 14:47,afternoon,weekday
163,Juice,31/10/2020 14:47,afternoon,weekday
164,Coffee,31/10/2020 14:47,afternoon,weekday
164,Rice,31/10/2020 14:47,afternoon,weekday
165,Tea,31/10/2020 14:48,afternoon,weekday
166,Coffee,31/10/2020 14:49,afternoon,weekday
166,Rice,31/10/2020 14:49,afternoon,weekday
167,Sandwich,31/10/2020 14:50,afternoon,weekday
167,Canned beans,31/10/2020 14:50,afternoon,weekday
167,Bread,31/10/2020 14:50,afternoon,weekday
167,Mineral water,31/10/2020 14:50,afternoon,weekday
168,Tea,31/10/2020 14:56,afternoon,weekday
168,Coffee,31/10/2020 14:56,afternoon,weekday
169,Mineral water,31/10/2020 15:05,afternoon,weekday
170,Coffee,31/10/2020 15:16,afternoon,weekday
171,detergent,31/10/2020 15:20,afternoon,weekday
171,Tea,31/10/2020 15:20,afternoon,weekday
172,Bread,31/10/2020 17:06,evening,weekday
172,Coffee,31/10/2020 17:06,evening,weekday
173,Bread,31/10/2020 17:08,evening,weekday
173,Rice,31/10/2020 17:08,evening,weekday
174,Coffee,31/10/2020 17:40,evening,weekday
175,Bread,31/10/2020 17:49,evening,weekday
176,Cookies,31/10/2020 18:22,evening,weekday
176,Coffee,31/10/2020 18:22,evening,weekday
178,Coffee,01/11/2020 07:51,morning,weekday
178,butter,01/11/2020 07:51,morning,weekday
179,Coffee,01/11/2020 08:20,morning,weekday
179,butter,01/11/2020 08:20,morning,weekday
180,Butter,01/11/2020 08:22,morning,weekday
180,Tea,01/11/2020 08:22,morning,weekday
181,Tea,01/11/2020 08:45,morning,weekday
181,Tea,01/11/2020 08:45,morning,weekday
182,butter,01/11/2020 09:07,morning,weekday
182,butter,01/11/2020 09:07,morning,weekday
182,Ella's Kitchen Pouches,01/11/2020 09:07,morning,weekday
183,butter,01/11/2020 09:09,morning,weekday
184,Yogurt,01/11/2020 09:26,morning,weekday
184,Tea,01/11/2020 09:26,morning,weekday
185,Tea,01/11/2020 09:29,morning,weekday
185,Snack foods ,01/11/2020 09:29,morning,weekday
186,Tea,01/11/2020 09:43,morning,weekday
186,butter,01/11/2020 09:43,morning,weekday
187,Bread,01/11/2020 10:02,morning,weekday
188,Coffee,01/11/2020 10:04,morning,weekday
189,Bread,01/11/2020 10:29,morning,weekday
189,Coffee,01/11/2020 10:29,morning,weekday
190,Coffee,01/11/2020 10:34,morning,weekday
190,butter,01/11/2020 10:34,morning,weekday
190,butter,01/11/2020 10:34,morning,weekday
191,detergent,01/11/2020 10:50,morning,weekday
191,Tea,01/11/2020 10:50,morning,weekday
192,Bread,01/11/2020 10:56,morning,weekday
193,Coffee,01/11/2020 11:00,morning,weekday
194,Bread,01/11/2020 11:04,morning,weekday
194,Bread,01/11/2020 11:04,morning,weekday
195,Bread,01/11/2020 11:06,morning,weekday
195,Milk,01/11/2020 11:06,morning,weekday
196,Bread,01/11/2020 11:08,morning,weekday
196,Cake,01/11/2020 11:08,morning,weekday
196,Cookies,01/11/2020 11:08,morning,weekday
197,Coffee,01/11/2020 11:10,morning,weekday
197,Coffee,01/11/2020 11:10,morning,weekday
197,Tea,01/11/2020 11:10,morning,weekday
198,Coffee,01/11/2020 11:11,morning,weekday
198,Cookies,01/11/2020 11:11,morning,weekday
199,Coffee,01/11/2020 11:13,morning,weekday
200,Bread,01/11/2020 11:16,morning,weekday
201,Coffee,01/11/2020 11:22,morning,weekday
201,butter,01/11/2020 11:22,morning,weekday
202,Coffee,01/11/2020 11:23,morning,weekday
202,Coffee,01/11/2020 11:23,morning,weekday
203,Coffee,01/11/2020 11:25,morning,weekday
204,Milk,01/11/2020 11:30,morning,weekday
204,Bread,01/11/2020 11:30,morning,weekday
205,Coffee,01/11/2020 11:49,morning,weekday
205,Coffee,01/11/2020 11:49,morning,weekday
205,butter,01/11/2020 11:49,morning,weekday
206,Milk,01/11/2020 11:54,morning,weekday
206,Coffee,01/11/2020 11:54,morning,weekday
206,butter,01/11/2020 11:54,morning,weekday
207,Canned beans,01/11/2020 12:03,afternoon,weekday
207,Coffee,01/11/2020 12:03,afternoon,weekday
207,Rice,01/11/2020 12:03,afternoon,weekday
208,Bread,01/11/2020 12:10,afternoon,weekday
209,Coffee,01/11/2020 12:10,afternoon,weekday
210,Milk,01/11/2020 12:12,afternoon,weekday
211,detergent,01/11/2020 12:15,afternoon,weekday
211,Coffee,01/11/2020 12:15,afternoon,weekday
212,Coffee,01/11/2020 12:20,afternoon,weekday
212,Cookies,01/11/2020 12:20,afternoon,weekday
212,Fresh vegetables,01/11/2020 12:20,afternoon,weekday
213,Bread,01/11/2020 12:22,afternoon,weekday
214,Bread,01/11/2020 12:26,afternoon,weekday
214,Tea,01/11/2020 12:26,afternoon,weekday
214,Tea,01/11/2020 12:26,afternoon,weekday
215,butter,01/11/2020 12:30,afternoon,weekday
215,Coffee,01/11/2020 12:30,afternoon,weekday
216,Fresh vegetables,01/11/2020 12:31,afternoon,weekday
216,Coffee,01/11/2020 12:31,afternoon,weekday
217,Bread,01/11/2020 12:33,afternoon,weekday
217,Cookies,01/11/2020 12:33,afternoon,weekday
218,Sandwich,01/11/2020 12:37,afternoon,weekday
219,Fresh vegetables,01/11/2020 12:41,afternoon,weekday
220,Bread,01/11/2020 12:49,afternoon,weekday
220,butter,01/11/2020 12:49,afternoon,weekday
221,Bread,01/11/2020 12:53,afternoon,weekday
221,Milk,01/11/2020 12:53,afternoon,weekday
222,Milk,01/11/2020 13:08,afternoon,weekday
223,coffee sweetner,01/11/2020 13:11,afternoon,weekday
223,Coffee,01/11/2020 13:11,afternoon,weekday
224,Coffee,01/11/2020 13:15,afternoon,weekday
225,Coffee,01/11/2020 13:19,afternoon,weekday
225,Coke,01/11/2020 13:19,afternoon,weekday
225,detergent,01/11/2020 13:19,afternoon,weekday
226,Cake,01/11/2020 13:21,afternoon,weekday
227,Tea,01/11/2020 13:31,afternoon,weekday
227,Sandwich,01/11/2020 13:31,afternoon,weekday
227,detergent,01/11/2020 13:31,afternoon,weekday
228,Coffee,01/11/2020 13:33,afternoon,weekday
229,Canned beans,01/11/2020 13:37,afternoon,weekday
229,Bread,01/11/2020 13:37,afternoon,weekday
230,coffee sweetner,01/11/2020 13:41,afternoon,weekday
231,Cake,01/11/2020 13:45,afternoon,weekday
232,Tea,01/11/2020 14:10,afternoon,weekday
232,Tea,01/11/2020 14:10,afternoon,weekday
232,Bread,01/11/2020 14:10,afternoon,weekday
233,Coffee,01/11/2020 14:13,afternoon,weekday
233,Tea,01/11/2020 14:13,afternoon,weekday
233,Bread,01/11/2020 14:13,afternoon,weekday
233,detergent,01/11/2020 14:13,afternoon,weekday
234,Coffee,01/11/2020 14:14,afternoon,weekday
234,Coffee,01/11/2020 14:14,afternoon,weekday
235,Milk,01/11/2020 14:18,afternoon,weekday
236,Fudge,01/11/2020 14:22,afternoon,weekday
237,Coffee,01/11/2020 14:25,afternoon,weekday
237,Sandwich,01/11/2020 14:25,afternoon,weekday
238,Tea,01/11/2020 14:37,afternoon,weekday
238,Bread,01/11/2020 14:37,afternoon,weekday
238,Cookies,01/11/2020 14:37,afternoon,weekday
238,butter,01/11/2020 14:37,afternoon,weekday
239,Rice,01/11/2020 14:37,afternoon,weekday
240,Milk,01/11/2020 14:42,afternoon,weekday
241,Butter,01/11/2020 14:54,afternoon,weekday
241,Tea,01/11/2020 14:54,afternoon,weekday
242,Juice,01/11/2020 15:02,afternoon,weekday
242,Tea,01/11/2020 15:02,afternoon,weekday
242,coffee sweetner,01/11/2020 15:02,afternoon,weekday
243,Cake,01/11/2020 15:18,afternoon,weekday
243,Rice,01/11/2020 15:18,afternoon,weekday
243,Coffee,01/11/2020 15:18,afternoon,weekday
243,detergent,01/11/2020 15:18,afternoon,weekday
244,Hot chocolate,01/11/2020 15:33,afternoon,weekday
244,Cake,01/11/2020 15:33,afternoon,weekday
244,Coffee,01/11/2020 15:33,afternoon,weekday
245,Cake,01/11/2020 15:37,afternoon,weekday
245,Cookies,01/11/2020 15:37,afternoon,weekday
246,Tea,01/11/2020 15:48,afternoon,weekday
246,Bread,01/11/2020 15:48,afternoon,weekday
247,coffee sweetner,01/11/2020 16:07,afternoon,weekday
247,Coffee,01/11/2020 16:07,afternoon,weekday
247,Coffee,01/11/2020 16:07,afternoon,weekday
247,Coffee,01/11/2020 16:07,afternoon,weekday
247,Juice,01/11/2020 16:07,afternoon,weekday
248,Coffee,01/11/2020 16:08,afternoon,weekday
248,Tea,01/11/2020 16:08,afternoon,weekday
248,detergent,01/11/2020 16:08,afternoon,weekday
249,Hot chocolate,01/11/2020 16:10,afternoon,weekday
250,Cookies,01/11/2020 16:10,afternoon,weekday
251,Coffee,01/11/2020 16:26,afternoon,weekday
251,Eggs,01/11/2020 16:26,afternoon,weekday
252,Bread,01/11/2020 16:28,afternoon,weekday
252,Eggs,01/11/2020 16:28,afternoon,weekday
253,Milk,01/11/2020 17:46,evening,weekday
254,Eggs,01/11/2020 18:43,evening,weekday
255,Coffee,02/11/2020 08:02,morning,weekday
255,Coffee,02/11/2020 08:02,morning,weekday
255,butter,02/11/2020 08:02,morning,weekday
256,Coffee,02/11/2020 08:05,morning,weekday
256,Bread,02/11/2020 08:05,morning,weekday
257,Bread,02/11/2020 08:07,morning,weekday
257,Coffee,02/11/2020 08:07,morning,weekday
257,butter,02/11/2020 08:07,morning,weekday
258,Coffee,02/11/2020 08:08,morning,weekday
258,butter,02/11/2020 08:08,morning,weekday
259,butter,02/11/2020 08:11,morning,weekday
260,Coffee,02/11/2020 08:12,morning,weekday
261,Coffee,02/11/2020 08:12,morning,weekday
262,Coffee,02/11/2020 08:29,morning,weekday
262,Hot chocolate,02/11/2020 08:29,morning,weekday
262,butter,02/11/2020 08:29,morning,weekday
263,Coke,02/11/2020 08:53,morning,weekday
264,Coffee,02/11/2020 09:02,morning,weekday
264,Butter,02/11/2020 09:02,morning,weekday
265,Tea,02/11/2020 09:03,morning,weekday
266,Bread,02/11/2020 09:05,morning,weekday
266,butter,02/11/2020 09:05,morning,weekday
267,Coffee,02/11/2020 09:18,morning,weekday
