Transaction,Item
202,Coffee
203,Coffee
204,Milk
204,Bread
205,Coffee
205,Coffee
205,butter
206,Milk
206,Coffee
206,butter
207,Canned beans
207,Coffee
207,Rice
208,Bread
209,Coffee
210,Milk
211,detergent
211,Coffee
212,Coffee
212,Cookies
212,Fresh vegetables
213,Bread
214,Bread
214,Tea
214,Tea
215,butter
215,Coffee
216,Fresh vegetables
216,Coffee
217,Bread
217,Cookies
218,Sandwich
219,Fresh vegetables
220,Bread
220,butter
221,Bread
221,Milk
222,Milk
223,coffee sweetner
223,Coffee
224,Coffee
225,Coffee
225,Coke
225,detergent
226,Cake
227,Tea
227,Sandwich
227,detergent
228,Coffee
229,Canned beans
229,Bread
230,coffee sweetner
231,Cake
232,Tea
232,Tea
232,Bread
233,Coffee
233,Tea
233,Bread
233,detergent
234,Coffee
234,Coffee
235,Milk
236,Fudge
237,Coffee
237,Sandwich
238,Tea
238,Bread
238,Cookies
238,butter
239,Rice
240,Milk
241,Butter
241,Tea
242,Juice
242,Tea
242,coffee sweetner
243,Cake
243,Rice
243,Coffee
243,detergent
244,Hot chocolate
244,Cake
244,Coffee
245,Cake
245,Cookies
246,Tea
246,Bread
247,coffee sweetner
247,Coffee
247,Coffee
247,Coffee
247,Juice
248,Coffee
248,Tea
248,detergent
249,Hot chocolate
250,Cookies
251,Coffee
251,Eggs
252,Bread
252,Eggs
253,Milk
254,Eggs
255,Coffee
255,Coffee
255,butter
256,Coffee
256,Bread
257,Bread
257,Coffee
257,butter
258,Coffee
258,butter
259,butter
260,Coffee
261,Coffee
262,Coffee
262,Hot chocolate
262,butter
263,Coke
264,Coffee
264,Butter
265,Tea
266,Bread
266,butter
267,Coffee
267,coffee sweetner
267,Yogurt
268,Tea
268,butter
269,Bread
270,Coffee
270,Butter
271,Coffee
271,Tea
271,Coffee
271,butter
272,Yogurt
274,Coffee
274,Bread
274,butter
275,Yogurt
276,Coffee
276,Coffee
276,butter
277,Yogurt
278,Coffee
278,butter
279,Coffee
280,Coffee
280,butter
281,Bread
281,Bread
282,Bread
282,Coffee
282,butter
283,butter
283,Coffee
284,Coffee
284,Yogurt
285,Yogurt
285,Yogurt
285,butter
286,Bread
286,Juice
286,coffee sweetner
287,Coffee
287,butter
288,Bread
288,coffee sweetner
289,Bread
290,Coffee
290,Cookies
291,Coffee
292,Cookies
293,Canned beans
294,Coffee
295,Butter
295,Fresh vegetables
295,Bread
296,Yogurt
296,Milk
297,Canned beans
297,Coffee
297,Rice
297,Milk
298,Fresh vegetables
298,Pick and Mix Bowls
298,Coffee
298,Coke
299,Bread
300,Milk
300,Yogurt
300,coffee sweetner
300,Coffee
300,Coffee
301,Juice
301,Mineral water
301,detergent
302,detergent
302,Tea
303,Juice
303,Tea
303,Cookies
303,detergent
304,Canned beans
304,Tea
305,Fudge
306,Coffee
306,Mineral water
306,Juice
306,detergent
307,Canned beans
308,Canned beans
308,Smoothies
309,Canned beans
309,Tea
310,Coffee
310,Sandwich
310,Sandwich
311,Cookies
311,Yogurt
312,detergent
312,Tea
312,Juice
313,detergent
314,Coffee
316,Bread
317,Cookies
317,Tea
318,detergent
318,Canned beans
318,Bread
319,Coffee
320,Coffee
321,Coffee
321,Tea
322,Bread
323,Tea
324,Coffee
324,Tea
325,Coffee
326,Fudge
327,Tea
328,detergent
328,Tea
329,Juice
330,coffee sweetner
331,Bread
332,Coffee
332,coffee sweetner
333,Juice
333,coffee sweetner
333,Cookies
333,Pick and Mix Bowls
333,Mineral water
334,Coffee
334,coffee sweetner
335,Fudge
336,Diapers
336,Juice
337,Coffee
337,Mineral water
337,coffee sweetner
338,Diapers
338,Coffee
339,coffee sweetner
340,Coffee
340,Bread
341,Eggs
341,Eggs
342,Eggs
342,Bread
343,Yogurt
344,Coffee
344,butter
345,Yogurt
346,Coffee
346,Coffee
346,butter
346,butter
346,Coffee
347,Eggs
348,Bread
348,Tea
348,Sandwich
349,Bread
350,Butter
350,Coffee
350,Yogurt
351,Focaccia
352,Bread
353,Fresh vegetables
353,butter
353,Bread
353,Cooking oil
354,Yogurt
354,butter
355,Bread
355,butter
356,butter
356,Bread
357,Butter
357,Coffee
358,Yogurt
359,Bread
359,butter
360,Coffee
360,Tea
360,Bread
361,Butter
363,butter
363,Eggs
363,Eggs
364,Coffee
365,Tea
366,Bread
367,Bread
367,butter
368,butter
369,Yogurt
370,Tea
371,Coffee
371,Sugar
371,coffee sweetner
371,Fudge
372,Bread
372,Fudge
372,Cookies
373,Coffee
374,Bread
375,Coffee
375,Coffee
375,Butter
375,butter
376,detergent
376,Coffee
377,Smoothies
377,detergent
377,Canned beans
377,butter
378,butter
378,Bread
379,butter
379,Eggs
380,Tea
380,Coffee
381,Bread
381,Cookies
382,Coffee
382,Coffee
382,Bread
382,Canned beans
382,Pick and Mix Bowls
382,Sandwich
382,Focaccia
383,Coffee
384,Coffee
384,Sandwich
384,Sugar
385,Sugar
385,Cookies
386,Coffee
387,Coffee
388,Sandwich
388,Bread
388,Coffee
389,Coffee
389,Hot chocolate
390,Tea
391,Sandwich
391,Coffee
391,Sugar
392,Sugar
392,butter
392,Focaccia
392,Yogurt
393,Cake
393,Focaccia
394,detergent
394,Canned beans
394,Mineral water
395,Canned beans
396,Canned beans
397,Coffee
397,Coffee
397,butter
398,Coffee
399,Tea
399,Cake
400,Coffee
400,detergent
401,Bread
401,Focaccia
401,Fudge
402,Hot chocolate
402,Coffee
402,coffee sweetner
403,Sugar
403,butter
403,Cake
404,Eggs
404,coffee sweetner
404,Dulce de Leche
405,Dulce de Leche
405,coffee sweetner
406,Bread
406,Cake
407,Cake
407,Coffee
408,Bread
409,Sandwich
410,Bread
410,Coffee
410,coffee sweetner
410,Eggs
411,Coffee
412,Bread
412,coffee sweetner
413,Tea
413,Coffee
414,Bread
415,Dulce de Leche
416,Yogurt
417,Fudge
418,Coffee
419,Coffee
419,coffee sweetner
419,Juice
419,Ella's Kitchen Pouches
419,Sugar
420,coffee sweetner
421,coffee sweetner
421,Sugar
421,Cookies
421,Bread
421,Juice
422,Cake
422,Cookies
423,Pick and Mix Bowls
424,Coffee
425,Yogurt
426,Tea
427,Coffee
428,Focaccia
428,Yogurt
429,Dulce de Leche
430,Juice
430,Cooking oil
430,Ella's Kitchen Pouches
430,Cookies
431,Bread
432,Hot chocolate
433,Coffee
435,Coffee
436,Coffee
437,Eggs
438,Bread
438,Tea
438,Butter
439,Yogurt
440,Bread
441,Coffee
442,Eggs
442,Coffee
443,Bread
444,Eggs
444,butter
444,Eggs
445,Coffee
445,Coffee
445,Butter
446,Bread
446,Coffee
447,Coffee
447,Coffee
448,Bread
449,Hot chocolate
450,Bread
450,Eggs
451,Bread
451,Butter
452,Butter
452,Bread
453,Coffee
453,Bread
454,Bread
454,Yogurt
455,Bread
455,Coffee
455,Coffee
456,Tea
456,butter
457,Coffee
457,Coffee
458,Bread
459,butter
459,Sugar
460,Yogurt
461,Coffee
462,Tea
462,Coffee
462,Honey
462,Cookies
463,Tea
464,Bread
465,Sugar
466,Bread
466,Coffee
467,Bread
468,Coffee
469,Tea
469,Tea
470,Tea
471,Coffee
471,Coffee
473,Bread
473,Coffee
474,Bread
474,Bread
475,Bread
475,The BART
476,Coffee
476,Sugar
477,Coffee
478,Coffee
478,Sugar
479,Mineral water
479,Coffee
479,Coffee
479,Fresh vegetables
480,Sugar
480,Coffee
481,Sugar
481,Juice
482,Coffee
482,Coffee
482,Bread
482,Tea
482,coffee sweetner
482,Eggs
482,butter
482,Butter
483,Bread
484,Fudge
484,Fudge
485,Coffee
485,Pick and Mix Bowls
486,butter
486,Bread
487,detergent
487,Milk
487,Coffee
487,Mineral water
488,Juice
488,Mineral water
488,Sandwich
488,Pick and Mix Bowls
489,Bread
489,butter
489,Bread
490,Canned beans
490,Canned beans
490,Coffee
490,Coffee
491,Bread
491,Canned beans
491,Coffee
491,Mineral water
492,Coffee
492,Fresh vegetables
492,Sandwich
492,Sugar
493,Coffee
493,Sugar
494,coffee sweetner
494,Coffee
494,Fresh vegetables
495,Diapers
495,Coffee
497,Coffee
497,Hot chocolate
498,detergent
498,Butter
498,Coffee
498,Coffee
499,Mineral water
499,Sugar
500,Milk
500,Coffee
501,Milk
501,Coffee
502,Coffee
502,Coffee
503,Coffee
503,Coffee
503,Hot chocolate
503,Sugar
503,Canned beans
504,Tea
504,Cake
505,Eggs
506,coffee sweetner
506,Tea
506,Coffee
507,Coffee
507,Juice
507,Sugar
507,coffee sweetner
508,Coffee
508,Sandwich
509,Bread
509,detergent
510,detergent
510,Bread
511,Bread
512,Tea
512,Sugar
512,Cookies
513,Coffee
513,Bread
513,Sugar
514,Sugar
515,Cookies
515,Bread
515,Butter
516,Coffee
517,Tea
517,Sugar
517,Tea
518,coffee sweetner
518,Eggs
518,Milk
519,Hot chocolate
519,Coffee
519,coffee sweetner
519,Cookies
520,Sugar
521,Fudge
522,Tea
522,Sugar
523,Dulce de Leche
523,Fudge
524,Bread
524,Milk
524,Fudge
524,Granola
524,butter
524,Coffee
525,Bread
525,Fudge
526,Hot chocolate
526,Coffee
526,Eggs
526,Eggs
527,Bread
528,Bread
528,Eggs
529,Bread
529,Coffee
529,Eggs
529,Butter
530,Butter
530,Coffee
530,Sugar
531,Bread
531,Coffee
531,Butter
532,Milk
533,Coffee
533,Cookies
534,Coffee
534,Coffee
534,Milk
535,Bread
536,Bread
537,Butter
537,Sugar
537,Coffee
537,Coffee
538,Coffee
539,Sugar
539,Hot chocolate
540,Bread
541,Bread
541,Bread
541,Eggs
542,Coffee
542,Hot chocolate
542,Sugar
543,Milk
544,Basket
544,Bread
545,Coffee
545,Bread
545,Sugar
546,Cake
546,Fudge
547,Coffee
547,Hot chocolate
547,Coffee
547,Basket
548,Milk
549,Milk
550,Coffee
550,Bread
550,Coffee
550,Cake
550,Eggs
551,Coffee
551,Coffee
551,Eggs
552,Bread
552,butter
553,Bread
553,Sugar
554,Eggs
554,Yogurt
555,Bread
555,Eggs
556,Sugar
556,Eggs
556,Hot chocolate
556,Smoothies
556,Coffee
557,Bread
557,Tea
557,Coffee
557,Sugar
557,Eggs
558,Eggs
558,Eggs
558,Cookies
559,Coffee
559,Eggs
560,Bread
560,Fudge
562,Coffee
562,Tea
563,Coffee
563,Cookies
564,butter
564,Bread
564,Sugar
565,Bread
565,Coffee
565,Bread
566,Coffee
566,Coffee
566,Tea
567,Bread
568,Eggs
568,Coffee
569,Cooking oil
569,Coffee
569,Sugar
570,Coffee
570,Fudge
571,Coffee
572,Coffee
572,Basket
573,Yogurt
574,Yogurt
575,Coffee
575,Sugar
576,Milk
576,Sugar
576,Cooking oil
577,Fresh vegetables
577,Coffee
577,Hot chocolate
577,Sugar
578,Sugar
578,Bread
578,Hot chocolate
579,Butter
579,Fudge
580,Coffee
581,Fudge
583,Diapers
583,Canned beans
583,Coffee
583,Tea
583,Cake
584,Coffee
585,Milk
586,Cake
586,Snack foods 
586,Milk
587,Tea
587,Cake
588,Coffee
588,Coffee
589,Coffee
589,Coffee
590,Bread
591,Soft drinks
592,Coffee
592,Coffee
592,Cooking oil
592,Sugar
593,Focaccia
593,Fairy Doors
594,Tea
594,Coffee
594,Coffee
595,Hot chocolate
595,Canned beans
595,Pick and Mix Bowls
595,Sugar
596,Soft drinks
596,Coffee
597,Bread
597,Sugar
598,Soft drinks
599,Milk
600,Bread
601,Yogurt
602,Pick and Mix Bowls
602,Butter
602,detergent
602,Sugar
603,Canned beans
603,Coffee
603,Tea
604,Bread
605,Bread
605,Soft drinks
606,Milk
608,Fresh vegetables
608,Hot chocolate
608,Coffee
609,Coffee
609,Diapers
610,Soft drinks
610,Coffee
611,Milk
612,Canned beans
612,Coffee
612,Mineral water
613,Milk
615,Bread
615,Coffee
616,Canned beans
616,detergent
616,Bread
616,Coffee
617,Sugar
617,Cake
617,Tea
618,Diapers
618,Coffee
620,Coffee
620,Tea
620,Sugar
620,detergent
621,Cake
622,Hot chocolate
622,Coffee
622,Cake
623,Canned beans
623,Coffee
624,Coffee
625,Soft drinks
625,Coffee
625,Sugar
626,Sandwich
626,Soft drinks
626,Coke
626,Mineral water
626,Sugar
627,Granola
627,Milk
628,Coffee
628,Coke
628,Coffee
629,Tea
629,Tea
629,Sugar
629,Cake
630,Fudge
631,Coffee
632,Sugar
633,Cake
634,Tea
635,Coffee
635,Coffee
635,Coffee
635,detergent
635,Sandwich
635,Cake
636,Coffee
636,Bread
636,Sugar
637,Bread
637,Coffee
637,Sugar
638,Coffee
638,Bread
638,Sugar
639,Sugar
639,Coffee
640,Coffee
640,detergent
640,Sugar
641,Fudge
642,Bread
642,Focaccia
643,Bread
643,Yogurt
643,Butter
644,Hot chocolate
644,Sugar
645,Hot chocolate
646,Coffee
646,Sugar
647,Eggs
647,butter
648,Bread
650,Coffee
650,butter
650,Bread
651,Coffee
651,Mineral water
652,butter
652,Bread
652,Hot chocolate
653,Bread
654,Bread
655,Butter
655,Coffee
655,Coffee
655,Bread
656,Coffee
656,Coffee
656,butter
657,Eggs
657,Coffee
657,Coffee
657,Focaccia
657,Canned beans
658,Bread
658,Yogurt
658,Coffee
658,Butter
659,Yogurt
660,Coffee
660,Tea
660,butter
660,Eggs
661,butter
661,Eggs
661,Coffee
662,Coffee
662,Hot chocolate
662,Basket
662,Yogurt
663,butter
663,Yogurt
664,Hot chocolate
664,Coffee
664,Cooking oil
665,butter
665,Eggs
665,Rice
666,Yogurt
667,Rice
667,butter
667,Focaccia
668,Coffee
668,Tea
669,Bread
670,Focaccia
671,Coffee
671,Hot chocolate
671,butter
671,Butter
672,Bread
673,Coffee
673,butter
673,Bread
674,Tea
675,Hot chocolate
675,Coffee
675,Mineral water
676,Coffee
676,Coffee
677,Coffee
678,Butter
678,Coffee
678,Coffee
680,Rice
681,Bread
682,Bread
683,Bread
684,Rice
684,Hot chocolate
684,Coffee
685,Rice
685,Fudge
686,Bread
687,Bread
688,Yogurt
689,Coffee
689,Rice
690,Focaccia
691,Bread
691,Tea
692,Coffee
692,Hot chocolate
693,Coffee
693,Fresh vegetables
693,Coffee
693,Pick and Mix Bowls
693,Butter
695,Butter
696,Fresh vegetables
697,Bread
697,Coffee
698,Coffee
698,Coffee
698,Mineral water
698,Juice
698,Fresh vegetables
698,Pick and Mix Bowls
699,Bread
699,Tea
699,Juice
700,Coffee
700,Coffee
700,Cake
701,Yogurt
702,Yogurt
703,Cake
703,Sugar
703,Coffee
703,Coffee
704,Focaccia
704,Coffee
705,Tea
705,Coffee
705,Rice
706,Coffee
707,Tea
707,Coffee
708,Canned beans
708,Cake
708,Coffee
709,Bread
709,Tea
709,Cake
710,Diapers
710,Coffee
711,Hot chocolate
711,Rice
712,Coffee
712,Coffee
712,detergent
712,Diapers
713,Butter
714,Coffee
714,coffee sweetner
715,Cake
715,Hot chocolate
715,coffee sweetner
716,Hot chocolate
716,Tea
716,Rice
717,Sugar
718,Cake
718,Coffee
719,Snack foods 
719,coffee sweetner
719,Tea
720,Bread
721,Fresh vegetables
721,Tea
721,Fresh vegetables
722,Diapers
722,Tea
723,Bread
723,Fudge
724,Eggs
724,Fresh vegetables
724,Coffee
725,butter
725,Bread
726,butter
726,Bread
727,Coffee
727,Tea
727,coffee sweetner
727,coffee sweetner
728,coffee sweetner
728,coffee sweetner
728,Coffee
729,Coffee
729,coffee sweetner
730,coffee sweetner
730,butter
732,coffee sweetner
733,butter
733,Tea
733,coffee sweetner
733,Canned beans
734,Tea
734,Sandwich
735,Empanadas
735,Tea
736,coffee sweetner
736,coffee sweetner
736,Tea
737,coffee sweetner
738,butter
738,Dulce de Leche
739,Coffee
739,butter
740,Yogurt
740,Coffee
741,Bread
741,Milk
741,Eggs
742,Bread
743,butter
743,Tea
743,coffee sweetner
744,butter
744,Coffee
745,Bread
745,butter
745,Rice
745,Yogurt
746,Eggs
746,Tea
747,coffee sweetner
748,Sandwich
748,Tea
749,Tea
749,Bread
750,Bread
750,Coffee
750,butter
751,Coffee
751,Coffee
751,Rice
751,coffee sweetner
751,Empanadas
752,Coffee
753,Bread
754,Coffee
755,Coffee
756,Bread
757,Bread
757,butter
757,Eggs
757,Tea
758,Tea
758,Bread
759,Rice
760,Coffee
760,Rice
761,Coffee
761,Bread
761,butter
761,Eggs
762,Coffee
762,Coffee
762,Rice
763,Rice
763,Hot chocolate
763,Milk
763,Bread
764,Yogurt
765,Rice
766,Coffee
767,Bread
768,Coffee
768,Coffee
768,Cookies
769,Coffee
769,Coffee
770,Rice
771,Coffee
771,Tea
771,Keeping It Local
772,Coffee
772,Eggs
773,Bread
774,Fresh vegetables
774,Milk
775,Coffee
775,Tea
776,Bread
777,Coffee
777,Coke
778,Coffee
778,Rice
779,Coffee
779,Bread
779,Coffee
779,Eggs
779,Rice
779,Milk
780,Bread
781,Coke
782,Bread
782,Milk
783,Coffee
784,Bread
785,Milk
785,Bread
786,Fudge
786,Fudge
787,detergent
787,Canned beans
787,Coffee
788,Coke
789,Coffee
789,Cookies
789,Tea
790,butter
790,Tea
790,Coffee
791,Bread
792,Coffee
792,Eggs
793,Coffee
793,Coffee
793,Rice
793,Sandwich
793,detergent
794,Tea
794,Coffee
794,Rice
795,coffee sweetner
796,Bread
797,Coffee
797,Eggs
798,Coffee
799,Coffee
800,Eggs
802,Empanadas
802,Bread
802,Milk
803,Coffee
803,Fresh vegetables
804,Tea
805,Milk
806,Rice
807,Milk
807,Bread
808,Bread
809,Coffee
810,Bread
811,Bread
812,Coffee
812,Coffee
813,Cookies
813,Milk
814,Coffee
814,Bread
814,Empanadas
814,Eggs
815,Coffee
815,butter
816,Bread
817,butter
817,Tea
818,Coffee
818,Coffee
818,butter
819,Coffee
819,Bread
820,Coffee
820,Keeping It Local
821,Fudge
822,Fresh vegetables
822,Coffee
822,Coffee
824,Hot chocolate
824,Coffee
824,butter
824,Eggs
825,coffee sweetner
825,Coffee
826,Coffee
828,Coffee
828,Coffee
828,Eggs
829,Coke
830,Coffee
830,Coffee
830,coffee sweetner
831,Rice
832,Yogurt
832,Sugar
832,Fudge
833,Coffee
833,Coffee
834,Tea
834,Rice
834,Yogurt
835,Coffee
835,butter
836,butter
836,Sugar
837,Eggs
838,Coffee
839,butter
839,Coffee
839,Juice
840,Coffee
840,Bread
841,Tea
841,Coffee
842,Tea
842,coffee sweetner
843,coffee sweetner
843,Coffee
844,Milk
845,butter
845,Eggs
846,Sugar
847,Yogurt
848,Coffee
848,Cookies
849,detergent
850,Art Tray
850,Coffee
850,Coffee
850,Sugar
851,Coffee
852,Yogurt
853,detergent
853,Art Tray
853,coffee sweetner
853,Soft drinks
854,Sandwich
854,Coffee
855,Tea
856,Yogurt
857,Milk
857,Rice
858,Yogurt
859,Milk
860,detergent
861,Canned beans
861,Tea
861,Bread
862,Hot chocolate
863,Coffee
863,Sandwich
863,Canned beans
864,Sugar
864,Canned beans
864,Sandwich
864,Coffee
865,Eggs
865,Coffee
866,Coffee
866,Sugar
866,detergent
867,Sandwich
867,Sandwich
867,coffee sweetner
867,coffee sweetner
867,Focaccia
868,Yogurt
868,Fresh vegetables
869,Bread
870,Coffee
871,Hot chocolate
871,Tea
871,Rice
872,butter
873,Coffee
873,Sugar
873,Canned beans
873,detergent
873,Bowl Nic Pitt
874,Coffee
875,coffee sweetner
875,Eggs
875,Milk
875,Yogurt
876,detergent
876,Coffee
877,Tea
877,Tea
878,Coffee
878,Tea
878,Cookies
879,Tea
879,Rice
880,Coffee
880,Coffee
880,Sugar
881,Coffee
882,Coffee
883,Coffee
884,Yogurt
885,Coffee
885,Bread Pudding
886,Coffee
886,Eggs
887,Hot chocolate
888,Coffee
888,Hot chocolate
888,Yogurt
889,butter
889,Coffee
890,Bread
891,butter
891,Coffee
892,Coffee
892,Coffee
893,Coffee
893,butter
894,Yogurt
895,Bread
896,Coffee
896,Hot chocolate
897,Bread
898,Coffee
898,Focaccia
898,Coffee
898,Eggs
898,Bread
899,Coffee
900,Bread
900,Keeping It Local
901,Bread
901,Coffee
902,Bread
903,Bread
903,Eggs
904,Coffee
905,Coffee
905,Coffee
905,Eggs
906,Coffee
906,Cookies
906,Fresh vegetables
907,Tea
907,Bread
908,Bread
908,Keeping It Local
908,Coffee
909,Coffee
909,Eggs
910,Coffee
910,Eggs
911,Tea
912,Juice
912,Coke
912,detergent
913,Bread
914,Sugar
915,Sugar
915,Bread
915,Coffee
916,Coffee
916,butter
916,Bread
916,Canned beans
917,Bread
917,Coffee
917,Sugar
918,Coffee
919,Bread
919,Cookies
920,Fudge
920,Eggs
921,Bread
922,Bread
922,Rice
923,detergent
924,Coffee
924,Bread Pudding
925,Bread
925,Fresh vegetables
926,Sandwich
926,Coffee
926,Fudge
926,Butter
926,Bread Pudding
927,Bread Pudding
927,detergent
927,Coffee
928,Canned beans
928,Bread
929,Coffee
929,Coffee
929,Cookies
930,Coffee
931,Bread
932,Coffee
932,Bread
932,detergent
933,detergent
933,Tea
933,Focaccia
934,Coffee
934,Cooking oil
934,Cookies
935,Coffee
935,Coffee
936,Coffee
936,Sandwich
936,Tea
937,Milk
938,Adjustment
939,Coffee
940,Eggs
940,Coffee
941,Bread
942,Bread
943,Coffee
943,butter
944,Yogurt
945,Eggs
945,Sugar
946,Bread
946,butter
946,Sugar
947,butter
947,Bread
947,Cookies
948,Bread
948,Bread
949,Cookies
949,butter
949,Coffee
949,Juice
950,butter
950,Cookies
950,Coffee
951,Coffee
951,Eggs
952,Bread
953,Fresh vegetables
953,Coffee
954,Coffee
954,Eggs
955,Bread
956,Bread
956,Coffee
956,coffee sweetner
956,Cookies
957,Bread
957,Coffee
957,Coffee
958,Bread
959,Bread
959,Coffee
959,Tea
959,Keeping It Local
959,Butter
959,Cookies
960,butter
960,Coffee
960,Juice
961,Eggs
961,Bread
961,Focaccia
962,butter
962,Eggs
962,Coffee
963,Coffee
964,Coffee
965,Coffee
965,Cookies
965,Tomato sauce
965,Sugar
965,Bread
966,Art Tray
966,Tea
967,Bread
968,Coffee
969,Coffee
969,Cookies
970,Sugar
971,Bread
971,Tea
971,Empanadas
972,Bread
972,Hot chocolate
973,Coffee
973,Cookies
974,Bread
975,Fresh vegetables
975,Sandwich
975,Tea
975,Bread
976,detergent
976,Sandwich
976,Bread
